objectid,title,category ,creator,date,subject,Municipio,Region ,Pais,location,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
Q_E1_25-03-2022_11,"Usted ha sentido, sufrido o ha sido víctima de racismo. Cómo lo ha superado",Pregunta,Negra Callejera ,2022-03-25,Racismo; Sociedad; Superación; Violentada,Quibdó,Chocó,Colombia ,Quibdó; Chocó; Colombia ,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,/objects/video/Q_E1_25-03-2022_11.mp4,/objects/small/Q_E1_25-03-2022_11_small.png,/objects/thumbs/Q_E1_25-03-2022_11_thumbs.png
Q_E1_25-03-2022_12,"Como eliminarías eso imaginarios estereotipados sociales dentro del territorio. Imaginarios como: Todas las mujeres deben ser madres, solo se encuentra protección al lado de un hombre, si eres mujeres negras debes saber cocinar y trenzar. ",Pregunta,Negra Callejera ,2022-03-25,Estereotipos; Sociedad; Cocinar; Trenza; Madres; Territorio,Buenaventura,Valle del cauca,Colombia ,"Buenaventura; Valle del cauca, Colombia ",video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,/objects/video/Q_E1_25-03-2022_12.mp4,/objects/small/Q_E1_25-03-2022_12_small.png,/objects/thumbs/Q_E1_25-03-2022_12_thumbs.png
Q_E1_25-03-2022_13,Como trabajarías desde tu territorio para deconstruir esos imaginarios estereotipados que se le han impuesto a las mujeres negras ,Pregunta,Negra Callejera ,2022-03-25,Estereotipos; Sociedad; Territorio; Deconstruir ,Quibdó,Chocó,Colombia ,Quibdó; Chocó; Colombia ,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,/objects/video/Q_E1_25-03-2022_13.mp4,/objects/small/Q_E1_25-03-2022_13_small.png,/objects/thumbs/Q_E1_25-03-2022_13_thumbs.png
Q_E1_25-03-2022_14,Como los estereotipos que ha hecho el otro sobre mi cuerpo de mujer negra ha afectado la manera en como me miro ante el espejo ,Pregunta,Negra Callejera ,2022-03-25,Estereotipos; Sociedad; Identidad; Auto-identidad; El otro,Quibdó,Chocó,Colombia ,Quibdó; Chocó; Colombia ,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,/objects/video/Q_E1_25-03-2022_14.mp4,/objects/small/Q_E1_25-03-2022_14_small.png,/objects/thumbs/Q_E1_25-03-2022_14_thumbs.png
Q_E1_25-03-2022_15,"Cómo mujer ""negra"" eres sujeta de tu dinero",Pregunta,Negra Callejera ,2022-03-25,Dinero; Economía ,Bogotá,Cundinamarca,Colombia ,Bogotá; Cundinamarca; Colombia,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,/objects/video/Q_E1_25-03-2022_15.mp4,/objects/small/Q_E1_25-03-2022_15_small.png,/objects/thumbs/Q_E1_25-03-2022_15_thumbs.png
Q_E1_25-03-2022_16,Crees que las personas afrodescendientes deben dejar de ser racistas ,Pregunta,Negra Callejera ,2022-03-25,Racismo,Quibdó,Chocó,Colombia ,Quibdó; Chocó; Colombia ,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,/objects/video/Q_E1_25-03-2022_16.mp4,/objects/small/Q_E1_25-03-2022_16_small.png,/objects/thumbs/Q_E1_25-03-2022_16_thumbs.png
Q_E1_25-03-2022_17,Con que palabra defino mi cabello,Pregunta,Negra Callejera ,2022-03-25,Cabello,Quibdó,Chocó,Colombia ,Quibdó; Chocó; Colombia ,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,/objects/video/Q_E1_25-03-2022_17.mp4,/objects/small/Q_E1_25-03-2022_17_small.png,/objects/thumbs/Q_E1_25-03-2022_17_thumbs.png
Q_E1_25-03-2022_18,"Te has sentido discriminada, al acceder algunos espacios por ser una mujer negra",Pregunta,Negra Callejera ,2022-03-25,Discrimanción; Entorno; Contexto ,Quibdó,Chocó,Colombia ,Quibdó; Chocó; Colombia ,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,/objects/video/Q_E1_25-03-2022_18.mp4,/objects/small/Q_E1_25-03-2022_18_small.png,/objects/thumbs/Q_E1_25-03-2022_18_thumbs.png
Q_E1_25-03-2022_19,Que te gusta de ti misma ,Pregunta,Negra Callejera ,2022-03-25,Identidad; Auto-identidad,Pereira,Risaralda,Colombia ,Pereira; Risaralda; Colombia ,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,/objects/video/Q_E1_25-03-2022_19.mp4,/objects/small/Q_E1_25-03-2022_19_small.png,/objects/thumbs/Q_E1_25-03-2022_19_thumbs.png
A_E1_25-03-2022_01,A_01,Respuesta,Negra Callejera ,2022-03-25,Mujer negra; Juventud; Territorio; Racismo; Violencia; Educación; Salud; Conflicto ,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_02,A_02,Respuesta,Negra Callejera ,2022-03-25,Territorio; Racismo; Derechos; Ancestros; Sociedad; Violencia; Desplazamiento forzado; Educación,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_03,A_03,Respuesta,Negra Callejera ,2022-03-25,Territorio; Cabello; Luchas; Territorios; Poder; Sociedad; Libertad; Trenzado ,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_04,A_04,Respuesta,Negra Callejera ,2022-03-25,Mujer negra; Idenditad; Cabello; Tez clara; Discriminación; Empoderamiento,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_05,A_05,Respuesta,Negra Callejera ,2022-03-25,Mujer negra; Machismo; Clasismo; Discriminación; Empoderamiento; Racismo; Educación; Politica ,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_06,A_06,Respuesta,Negra Callejera ,2022-03-25,Familia; Discriminación; Tez clara; Cabello; Entorno ,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_07,A_07,Respuesta,Negra Callejera ,2022-03-25,Cabello; Fuerza; Ancestros; Identidad ,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_08,A_08,Respuesta,Negra Callejera ,2022-03-25,Cabello; Entorno,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_09,A_09,Respuesta,Negra Callejera ,2022-03-25,Abusada; Discriminación; Violencia; Identidad; Mujer negra ,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_10,A_10,Respuesta,Negra Callejera ,2022-03-25,Belleza; Familia; Sociedad; Exclavitud; Mejorar la raza; Discriminacón; Identidad,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_11,A_11,Respuesta,Negra Callejera ,2022-03-25,Mujer negra; Belleza; Cabello; Identidad; Niñez; Labios; Nariz; Rasgos,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_12,A_12,Respuesta,Negra Callejera ,2022-03-25,Estereotipo; Mejorar la raza; Racismo; Familia; Sociedad; Cabello; Mujer negra; Educación,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_13,A_13,Respuesta,Negra Callejera ,2022-03-25,Mujer negra; Racismo; Entornos; Discriminación; Empoderamiento; Violencia; Leyes; Educación,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_14,A_14,Respuesta,Negra Callejera ,2022-03-25,Violencia; Tenzas; Luchas; Libertad; Naturaleza; Territorio; Ninez;Sociedad ,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_15,A_15,Respuesta,Negra Callejera ,2022-03-25,Sociead; Violencia; Entornos,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_16,A_16,Respuesta,Negra Callejera ,2022-03-25,Mujer negra; Sexualidad; Religión; Machismo; Estereotipos; Identidad; Territorio; Fuerza ,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_17,A_17,Respuesta,Negra Callejera ,2022-03-25,Territorio; Herencia; Afro; Identidad; Ancestros; Violencia ,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_18,A_18,Respuesta,Negra Callejera ,2022-03-25,Territorio; Estereotipos; Mujer negras; Identidad ,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_19,A_19,Respuesta,Negra Callejera ,2022-03-25,Belleza; Cuerpo; Contexto; Identidad; Estereotipos; Sociedad; Sexualidad; Empoderamiento,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_20,A_20,Respuesta,Negra Callejera ,2022-03-25,Discriminación; Afro; Estereotipo; Belleza; Cabello; Mujer negra; Soloridad; Luchas,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_21,A_21,Respuesta,Negra Callejera ,2022-03-25,Mujer negra; Ancestros; Belleza; Racismo; Discriminación; Sociedad; Color; Muerte ,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_22,A_22,Respuesta,Negra Callejera ,2022-03-25,Dominar; Economia; Inteligencia; Comida,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_23,A_23,Respuesta,Negra Callejera ,2022-03-25,Afro; Juventud; Emprendimiento; Creatividad ,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_24,A_24,Respuesta,Negra Callejera ,2022-03-25,Cabello; Historia; Politica; Recistencia,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_25,A_25,Respuesta,Negra Callejera ,2022-03-25,Juventud; Politica; Mujer negras; Racismo; Educación; Entorno ,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_26,A_26,Respuesta,Negra Callejera ,2022-03-25,Blaquemiento; Cabello; Estereotipos; Identidad ,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_27,A_27,Respuesta,Negra Callejera ,2022-03-25,Mujer negra; Territorio; Inteligencia; Identidad ,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
A_E1_25-03-2022_28,A_28,Respuesta,Negra Callejera ,2022-03-25,Familia; Lucha; Entornos; Territorios; Ancestros; Amor; Violencia; Ninez,,,Colombia ,,video/mp4,spa,"En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co",,video ,,,
